"ANO";"NIVEL";"CODMUNRES";"TO";"TORC";"TORCR";"TO_NN";"TO_N";"TO_CB_I";"TO_CB_N";"TO_CB_C";"TO_CB_R";"TO_CB_O";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_P";"TO_NT_T";"TO_PNT";"TONT_B";"TONT_PT";"TONT_A";"TONT_PD";"TONT_I";"TO_MT";"TO_MT_DG";"TO_MT_PT";"TO_MT_AB";"TO_MT_42";"TO_MT_43";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_ES";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_EM";"TO_MT_P_ESI";"TO_MT_P_ESC"
2016;"UF";"350290";232;4;NA;19;213;9;44;51;25;84;137;95;13;0;2;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350300";36;2;NA;0;36;2;4;9;9;12;21;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350310";41;4;NA;2;39;2;10;8;7;12;20;21;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350315";20;0;NA;2;18;0;1;8;4;5;11;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350320";1741;147;NA;116;1625;51;307;522;291;454;916;825;78;0;17;13;4;6;10;1;0;5;0;6;1;2;0;2;1;5;4;0;0;2;3;0;0
2016;"UF";"350330";863;42;NA;45;818;31;159;195;105;328;484;379;35;0;13;11;2;3;10;0;0;3;0;3;1;0;0;1;1;2;2;0;1;0;1;0;0
2016;"UF";"350335";17;0;NA;1;16;0;5;4;2;5;13;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350340";79;3;NA;6;73;1;15;21;10;26;40;39;5;0;2;1;1;0;2;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0
2016;"UF";"350350";50;2;NA;1;49;2;5;11;6;25;15;35;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350360";72;6;NA;12;60;3;12;26;6;13;45;27;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350370";80;1;NA;7;73;1;10;21;14;27;50;30;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350380";268;13;NA;21;247;9;40;68;26;104;151;117;9;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350390";527;33;NA;48;479;6;99;171;74;129;279;246;33;0;12;9;3;9;3;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
